Wall time,Step,Value
1653928792.8933737,1992820,56.02000045776367
1653928832.6921282,2008676,60.689998626708984
1653928856.3230143,2018200,61.040000915527344
1653928861.4636402,2020280,61.2599983215332
1653928869.0032256,2023276,58.650001525878906
1653928902.4684613,2036660,57.11000061035156
1653928988.7244742,2070412,56.970001220703125
1653928994.4604352,2072708,55.65999984741211
1653929003.2885597,2076188,55.869998931884766
1653929039.1969929,2090308,57.0
1653929065.9198122,2100880,58.18000030517578
1653929080.7780495,2106700,57.83000183105469
1653929119.1669347,2121936,54.56999969482422
1653929127.1044292,2125124,54.7599983215332
1653929139.934335,2130184,55.79999923706055
1653929147.8249588,2133332,56.34000015258789
1653929161.710721,2138880,56.09000015258789
1653929186.577759,2148740,55.310001373291016
1653929188.124643,2149336,56.810001373291016
1653929228.960836,2165680,62.349998474121094
1653929235.86969,2168368,62.689998626708984
1653929247.4165676,2172948,63.33000183105469
1653929306.550981,2196624,68.08000183105469
1653929311.9728563,2198788,68.33999633789062
1653929327.870507,2205116,68.30999755859375
1653929362.557269,2219012,65.30999755859375
1653929365.619768,2220232,64.08999633789062
1653929386.5416636,2228564,65.95999908447266
1653929409.8697174,2237912,66.5
1653929430.5884645,2246160,70.20999908447266
1653929433.2574575,2247200,70.20999908447266
1653929458.944848,2257576,71.51000213623047
1653929468.9706066,2261560,72.19999694824219
1653929470.9087358,2262340,72.2300033569336
1653929511.7951238,2278852,71.23999786376953
1653929524.7821062,2284080,71.54000091552734
1653929531.4569254,2286784,71.05999755859375
1653929540.286,2290372,71.0999984741211
1653929560.4992197,2298504,69.5999984741211
1653929603.2548957,2315784,68.0999984741211
1653929649.3238862,2334076,73.3499984741211
1653929661.116316,2338852,73.87000274658203
1653929683.1303284,2347680,72.06999969482422
1653929696.8334541,2353172,73.30000305175781
1653929698.8803325,2354020,76.08999633789062
1653929700.380328,2354636,76.37999725341797
1653929708.221012,2357744,76.05000305175781
1653929715.5647664,2360692,73.88999938964844
1653929763.3507879,2379860,72.11000061035156
1653929804.0745692,2396200,73.22000122070312
1653929806.2308197,2397036,73.22000122070312
1653929816.6839485,2401180,72.68000030517578
1653929828.3404257,2405784,72.4800033569336
1653929845.1170328,2412504,74.43000030517578
1653929868.2603936,2421884,77.69000244140625
1653929871.2760134,2423080,78.37000274658203
1653929896.0368114,2433028,78.37999725341797
1653929910.318049,2438784,78.19999694824219
1653929915.663178,2440916,78.0
1653929931.6770961,2447416,76.61000061035156
1653929936.7864685,2449492,76.6500015258789
1653929942.145842,2451636,75.80000305175781
1653929965.3535593,2460904,78.9800033569336
1653929972.41606,2463768,78.68000030517578
1653929977.3650594,2465740,81.16999816894531
1653930032.5023193,2487248,77.79000091552734
1653930056.4627683,2496792,78.22000122070312
1653930064.3010905,2499884,80.68000030517578
1653930104.5535977,2515824,81.4000015258789
1653930125.190791,2523980,81.63999938964844
1653930127.8939135,2525044,81.70999908447266
1653930135.0980287,2527892,80.31999969482422
1653930149.2699082,2533472,81.66000366210938
1653930166.0948794,2540196,80.48999786376953
1653930186.812581,2548528,84.12000274658203
1653930200.3109083,2553924,84.95999908447266
1653930218.659566,2561120,84.93000030517578
1653930231.5361557,2566228,86.11000061035156
1653930265.2385693,2579584,89.58000183105469
1653930330.4645042,2605916,91.54000091552734
1653930385.3774204,2628072,90.0199966430664
1653930392.4867947,2630932,91.38999938964844
1653930401.9058974,2634744,88.31999969482422
1653930404.1559005,2635652,88.33000183105469
1653930420.374653,2642108,88.87999725341797
1653930463.3708932,2659348,94.13999938964844
1653930489.0259678,2669676,91.18000030517578
